instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,event,temp_cat,atemp_cat,hum_cat,wind_cat
1,2011-01-01,Winter,2011,January,0,Non-Holiday,Saturday,Non-Work,Clear,3.28,3.0,81.0,0.0,16,No,Cold,Cold,Too Moist,Slow Wind
2,2011-01-01,Winter,2011,January,1,Non-Holiday,Saturday,Non-Work,Clear,2.34,2.0,80.0,0.0,40,No,Cold,Cold,Too Moist,Slow Wind
3,2011-01-01,Winter,2011,January,2,Non-Holiday,Saturday,Non-Work,Clear,2.34,2.0,80.0,0.0,32,No,Cold,Cold,Too Moist,Slow Wind
4,2011-01-01,Winter,2011,January,3,Non-Holiday,Saturday,Non-Work,Clear,3.28,3.0,75.0,0.0,13,No,Cold,Cold,Too Moist,Slow Wind
5,2011-01-01,Winter,2011,January,4,Non-Holiday,Saturday,Non-Work,Clear,3.28,3.0,75.0,0.0,1,No,Cold,Cold,Too Moist,Slow Wind
6,2011-01-01,Winter,2011,January,5,Non-Holiday,Saturday,Non-Work,Cloudy,3.28,1.0,75.0,6.0,1,No,Cold,Cold,Too Moist,Slow Wind
7,2011-01-01,Winter,2011,January,6,Non-Holiday,Saturday,Non-Work,Clear,2.34,2.0,80.0,0.0,2,No,Cold,Cold,Too Moist,Slow Wind
8,2011-01-01,Winter,2011,January,7,Non-Holiday,Saturday,Non-Work,Clear,1.4,1.0,86.0,0.0,3,No,Cold,Cold,Too Moist,Slow Wind
9,2011-01-01,Winter,2011,January,8,Non-Holiday,Saturday,Non-Work,Clear,3.28,3.0,75.0,0.0,8,No,Cold,Cold,Too Moist,Slow Wind
10,2011-01-01,Winter,2011,January,9,Non-Holiday,Saturday,Non-Work,Clear,7.04,7.0,76.0,0.0,14,No,Cold,Cold,Too Moist,Slow Wind
11,2011-01-01,Winter,2011,January,10,Non-Holiday,Saturday,Non-Work,Clear,9.86,10.0,76.0,17.0,36,No,Cold,Cold,Too Moist,Slow Wind
12,2011-01-01,Winter,2011,January,11,Non-Holiday,Saturday,Non-Work,Clear,8.92,6.0,81.0,19.0,56,No,Cold,Cold,Too Moist,Slow Wind
13,2011-01-01,Winter,2011,January,12,Non-Holiday,Saturday,Non-Work,Clear,11.74,12.0,77.0,19.0,84,No,Cool,Cool,Too Moist,Slow Wind
14,2011-01-01,Winter,2011,January,13,Non-Holiday,Saturday,Non-Work,Cloudy,13.62,14.0,72.0,20.0,94,No,Cool,Cool,Too Moist,Slow Wind
15,2011-01-01,Winter,2011,January,14,Non-Holiday,Saturday,Non-Work,Cloudy,13.62,14.0,72.0,19.0,106,No,Cool,Cool,Too Moist,Slow Wind
16,2011-01-01,Winter,2011,January,15,Non-Holiday,Saturday,Non-Work,Cloudy,12.68,13.0,77.0,20.0,110,No,Cool,Cool,Too Moist,Slow Wind
17,2011-01-01,Winter,2011,January,16,Non-Holiday,Saturday,Non-Work,Cloudy,11.74,12.0,82.0,20.0,93,No,Cool,Cool,Too Moist,Slow Wind
18,2011-01-01,Winter,2011,January,17,Non-Holiday,Saturday,Non-Work,Cloudy,12.68,13.0,82.0,19.0,67,No,Cool,Cool,Too Moist,Slow Wind
19,2011-01-01,Winter,2011,January,18,Non-Holiday,Saturday,Non-Work,Light Rain/Snow,11.74,12.0,88.0,17.0,35,No,Cool,Cool,Too Moist,Slow Wind
20,2011-01-01,Winter,2011,January,19,Non-Holiday,Saturday,Non-Work,Light Rain/Snow,11.74,12.0,88.0,17.0,37,No,Cool,Cool,Too Moist,Slow Wind
21,2011-01-01,Winter,2011,January,20,Non-Holiday,Saturday,Non-Work,Cloudy,10.8,11.0,87.0,17.0,36,No,Cool,Cool,Too Moist,Slow Wind
22,2011-01-01,Winter,2011,January,21,Non-Holiday,Saturday,Non-Work,Cloudy,10.8,11.0,87.0,13.0,34,No,Cool,Cool,Too Moist,Slow Wind
23,2011-01-01,Winter,2011,January,22,Non-Holiday,Saturday,Non-Work,Cloudy,10.8,11.0,94.0,15.0,28,No,Cool,Cool,Too Moist,Slow Wind
24,2011-01-01,Winter,2011,January,23,Non-Holiday,Saturday,Non-Work,Cloudy,13.62,14.0,88.0,20.0,39,No,Cool,Cool,Too Moist,Slow Wind
25,2011-01-02,Winter,2011,January,0,Non-Holiday,Sunday,Non-Work,Cloudy,13.62,14.0,88.0,20.0,17,No,Cool,Cool,Too Moist,Slow Wind
26,2011-01-02,Winter,2011,January,1,Non-Holiday,Sunday,Non-Work,Cloudy,12.68,13.0,94.0,17.0,17,No,Cool,Cool,Too Moist,Slow Wind
27,2011-01-02,Winter,2011,January,2,Non-Holiday,Sunday,Non-Work,Cloudy,11.74,12.0,100.0,19.0,9,No,Cool,Cool,Too Moist,Slow Wind
28,2011-01-02,Winter,2011,January,3,Non-Holiday,Sunday,Non-Work,Cloudy,13.62,14.0,94.0,13.0,6,No,Cool,Cool,Too Moist,Slow Wind
29,2011-01-02,Winter,2011,January,4,Non-Holiday,Sunday,Non-Work,Cloudy,13.62,14.0,94.0,13.0,3,No,Cool,Cool,Too Moist,Slow Wind
30,2011-01-02,Winter,2011,January,6,Non-Holiday,Sunday,Non-Work,Light Rain/Snow,11.74,12.0,77.0,20.0,2,No,Cool,Cool,Too Moist,Slow Wind
